"block","year","compost_added","winter_cover_freq","cover_crop_type","cover_crop_seeding_rate","TOC_mg_ha","TON_ma_ha"
"1",0,"No","Every 4th winter","Leg-rye","3x","52",5.4
"2",0,"No","Every 4th winter","Leg-rye","3x","49",5.4
"3",0,"No","Every 4th winter","Leg-rye","3x","46",5
"4",0,"No","Every 4th winter","Leg-rye","3x","44",5
"1",0,"Yes","Every 4th winter","Leg-rye","3x","50",5
"2",0,"Yes","Every 4th winter","Leg-rye","3x","60",6.2
"3",0,"Yes","Every 4th winter","Leg-rye","3x","49",5.4
"4",0,"Yes","Every 4th winter","Leg-rye","3x","53",5.8
"1",0,"Yes","Every winter","Leg-rye","1x","57",5.8
"2",0,"Yes","Every winter","Leg-rye","1x","47",4.6
"3",0,"Yes","Every winter","Leg-rye","1x","42",4.6
"4",0,"Yes","Every winter","Leg-rye","1x","50",5.4
"1",0,"Yes","Every winter","Leg-rye","3x","57",5.8
"2",0,"Yes","Every winter","Leg-rye","3x","50",5.4
"3",0,"Yes","Every winter","Leg-rye","3x","59",6.2
"4",0,"Yes","Every winter","Leg-rye","3x","45",5
"1",0,"Yes","Every winter","Mustard","1x","40",4.6
"2",0,"Yes","Every winter","Mustard","1x","44",5
"3",0,"Yes","Every winter","Mustard","1x","44",5
"4",0,"Yes","Every winter","Mustard","1x","49",5.4
"1",0,"Yes","Every winter","Mustard","3x","56",5.8
"2",0,"Yes","Every winter","Mustard","3x","46",5
"3",0,"Yes","Every winter","Mustard","3x","49",5.4
"4",0,"Yes","Every winter","Mustard","3x","50",5.8
"1",0,"Yes","Every winter","Rye","1x","54",5.8
"2",0,"Yes","Every winter","Rye","1x","43",4.6
"3",0,"Yes","Every winter","Rye","1x","50",5.4
"4",0,"Yes","Every winter","Rye","1x","51",5.4
"1",0,"Yes","Every winter","Rye","3x","53",5.4
"2",0,"Yes","Every winter","Rye","3x","51",5.4
"3",0,"Yes","Every winter","Rye","3x","43",4.6
"4",0,"Yes","Every winter","Rye","3x","40",4.2
"1",1,"No","Every 4th winter","Leg-rye","3x","21",2.9
"2",1,"No","Every 4th winter","Leg-rye","3x","12",2.5
"3",1,"No","Every 4th winter","Leg-rye","3x","9",2.1
"4",1,"No","Every 4th winter","Leg-rye","3x","17",2.5
"1",1,"Yes","Every 4th winter","Leg-rye","3x","26",3
"2",1,"Yes","Every 4th winter","Leg-rye","3x","19",2.6
"3",1,"Yes","Every 4th winter","Leg-rye","3x","13",2.6
"4",1,"Yes","Every 4th winter","Leg-rye","3x","27",3.4
