block,year,compost_added,winter_cover_freq,cover_crop_type,cover_crop_seeding_rate,TOC_mg_ha,TON_ma_ha
1,0,0,1,2,3,52,5.4
2,0,0,1,2,3,49,5.4
3,0,0,1,2,3,46,5
4,0,0,1,2,3,44,5
1,0,1,1,2,3,50,5
2,0,1,1,2,3,60,6.2
3,0,1,1,2,3,49,5.4
4,0,1,1,2,3,53,5.8
1,0,1,4,2,1,57,5.8
2,0,1,4,2,1,47,4.6
3,0,1,4,2,1,42,4.6
4,0,1,4,2,1,50,5.4
1,0,1,4,2,3,57,5.8
2,0,1,4,2,3,50,5.4
3,0,1,4,2,3,59,6.2
4,0,1,4,2,3,45,5
1,0,1,4,3,1,40,4.6
2,0,1,4,3,1,44,5
3,0,1,4,3,1,44,5
4,0,1,4,3,1,49,5.4
1,0,1,4,3,3,56,5.8
2,0,1,4,3,3,46,5
3,0,1,4,3,3,49,5.4
4,0,1,4,3,3,50,5.8
1,0,1,4,1,1,54,5.8
2,0,1,4,1,1,43,4.6
3,0,1,4,1,1,50,5.4
4,0,1,4,1,1,51,5.4
1,0,1,4,1,3,53,5.4
2,0,1,4,1,3,51,5.4
3,0,1,4,1,3,43,4.6
4,0,1,4,1,3,40,4.2
1,1,0,1,2,3,21,2.9
2,1,0,1,2,3,12,2.5
3,1,0,1,2,3,9,2.1
4,1,0,1,2,3,17,2.5
1,1,1,1,2,3,26,3
2,1,1,1,2,3,19,2.6
3,1,1,1,2,3,13,2.6
4,1,1,1,2,3,27,3.4
1,1,1,4,2,1,20,2.6
2,1,1,4,2,1,12,2.1
3,1,1,4,2,1,16,3
4,1,1,4,2,1,34,4.2
1,1,1,4,2,3,18,2.6
2,1,1,4,2,3,16,2.6
3,1,1,4,2,3,14,2.6
4,1,1,4,2,3,32,4.2
1,1,1,4,3,1,12,2.1
2,1,1,4,3,1,18,2.6
3,1,1,4,3,1,13,2.6
4,1,1,4,3,1,24,3.8
1,1,1,4,3,3,22,2.6
2,1,1,4,3,3,17,2.6
3,1,1,4,3,3,14,2.6
4,1,1,4,3,3,20,2.6
1,1,1,4,1,1,18,2.6
2,1,1,4,1,1,19,3
3,1,1,4,1,1,18,2.6
4,1,1,4,1,1,26,3.4
1,1,1,4,1,3,19,2.6
2,1,1,4,1,3,12,2.2
3,1,1,4,1,3,13,2.5
4,1,1,4,1,3,23,2.9
1,2,0,1,2,3,34,3.3
2,2,0,1,2,3,30,2.9
3,2,0,1,2,3,23,2.5
4,2,0,1,2,3,25,2.5
1,2,1,1,2,3,42,3.8
2,2,1,1,2,3,27,2.6
3,2,1,1,2,3,34,3.4
4,2,1,1,2,3,43,4.6
1,2,1,4,2,1,44,4.2
2,2,1,4,2,1,38,3.8
3,2,1,4,2,1,31,3
4,2,1,4,2,1,42,3.8
1,2,1,4,2,3,40,3.8
2,2,1,4,2,3,41,3.8
3,2,1,4,2,3,34,3.5
4,2,1,4,2,3,52,5
1,2,1,4,3,1,29,2.6
2,2,1,4,3,1,35,3.4
3,2,1,4,3,1,44,4.2
4,2,1,4,3,1,52,5.4
1,2,1,4,3,3,43,4.2
2,2,1,4,3,3,46,5
3,2,1,4,3,3,34,3.4
4,2,1,4,3,3,47,5
1,2,1,4,1,1,36,3.5
2,2,1,4,1,1,31,3
3,2,1,4,1,1,42,3.9
4,2,1,4,1,1,37,3.9
1,2,1,4,1,3,45,4.2
2,2,1,4,1,3,34,3
3,2,1,4,1,3,38,3
4,2,1,4,1,3,37,3.8
1,3,0,1,2,3,28,2.9
2,3,0,1,2,3,29,2.5
3,3,0,1,2,3,22,2.1
4,3,0,1,2,3,26,2.1
1,3,1,1,2,3,35,2.6
2,3,1,1,2,3,34,3
3,3,1,1,2,3,39,3.4
4,3,1,1,2,3,34,3
1,3,1,4,2,1,38,3.4
2,3,1,4,2,1,32,3.4
3,3,1,4,2,1,40,3.4
4,3,1,4,2,1,36,3
1,3,1,4,2,3,42,3.4
