block,compost_added,winter_cover_freq,cover_crop_type,cover_crop_seeding_rate,lettuce_yeild,broccoli_yield
1,0,1,2,3,5299,8511
2,0,1,2,3,5380,8607
3,0,1,2,3,5150,7805
4,0,1,2,3,4890,8110
1,1,1,2,3,5510,8013
2,1,1,2,3,6053,8487
3,1,1,2,3,6108,9021
4,1,1,2,3,5981,8370
1,1,4,2,1,6583,8368
2,1,4,2,1,6765,8676
3,1,4,2,1,6816,8942
4,1,4,2,1,6872,9524
1,1,4,2,3,7289,8426
2,1,4,2,3,7030,10271
3,1,4,2,3,7362,9397
4,1,4,2,3,6831,8845
1,1,4,3,1,6276,8324
2,1,4,3,1,6761,8213
3,1,4,3,1,6752,9315
4,1,4,3,1,6563,9829
1,1,4,3,3,6645,8546
2,1,4,3,3,6717,9944
3,1,4,3,3,6518,8947
4,1,4,3,3,6842,9409
1,1,4,1,1,6682,8364
2,1,4,1,1,6558,7989
3,1,4,1,1,6711,9463
4,1,4,1,1,6859,9559
1,1,4,1,3,6879,8698
2,1,4,1,3,6836,8833
3,1,4,1,3,6509,8328
4,1,4,1,3,6520,9125
